	dmso_t0_a	dmso_t0_b	dmso_t1_a	dmso_t1_b	dmso_t2_a	dmso_t2_b	vx_t0_a	vx_t0_b	vx_t1_a	vx_t1_b	vx_t2_a	vx_t2_b
ABL1_24_A08_A_08_1_1	2081	2081	1813	1813	1397	1397	2081	2081	1635	1635	1198	1198
ABL1_24_A09_A_09_2_2	742	742	618	618	399	399	742	742	668	668	556	556
ABL1_24_A10_A_10_3_3	2001	2001	1948	1948	1459	1459	2001	2001	1816	1816	1595	1595
ABL1_24_A11_A_11_3_4	4088	4088	3236	3236	1845	1845	4088	4088	3557	3557	2737	2737
ABL1_24_B07_B_07_3_6	3494	3494	2989	2989	1598	1598	3494	3494	2634	2634	2135	2135
ABL1_24_B08_B_08_4_7	2519	2519	2198	2198	1522	1522	2519	2519	1984	1984	1602	1602
ABL1_24_B09_B_09_4_8	3794	3794	2902	2902	1830	1830	3794	3794	2668	2668	2185	2185
ABL1_24_B10_B_10_4_11	2170	2170	1924	1924	1542	1542	2170	2170	1890	1890	1554	1554
ABL1_24_B11_B_11_6_13	7756	7756	6744	6744	4766	4766	7756	7756	6475	6475	6460	6460
AKT1_27_E08_E_08_3_2	925	925	604	604	529	529	925	925	972	972	790	790
AKT1_27_E09_E_09_4_4	0	0	0	0	0	0	0	0	0	0	0	0
AKT1_27_E10_E_10_4_7	0	0	0	0	0	0	0	0	0	0	0	0
AKT1_27_E11_E_11_4_8	2173	2173	2042	2042	1416	1416	2173	2173	2328	2328	2121	2121
AKT1_27_F07_F_07_5_9	917	917	696	696	451	451	917	917	903	903	761	761
AKT1_27_F08_F_08_5_10	3319	3319	3808	3808	2295	2295	3319	3319	3613	3613	2803	2803
AKT1_27_F09_F_09_5_11	1797	1797	1449	1449	940	940	1797	1797	1635	1635	1494	1494
AKT1_27_F10_F_10_6_12	4501	4501	3343	3343	1150	1150	4501	4501	4101	4101	3388	3388
AKT1_27_F11_F_11_6_13	950	950	799	799	508	508	950	950	781	781	721	721
AKT2_18_G08_G_08_2_1	1340	1340	1405	1405	677	677	1340	1340	1464	1464	1350	1350
AKT2_18_G09_G_09_2_2	103	103	60	60	43	43	103	103	56	56	68	68
AKT2_18_G10_G_10_2_3	192	192	182	182	123	123	192	192	136	136	111	111
AKT2_18_G11_G_11_3_5	697	697	644	644	391	391	697	697	610	610	658	658
AKT2_18_H07_H_07_4_7	1533	1533	1493	1493	1004	1004	1533	1533	1453	1453	1188	1188
AKT2_18_H08_H_08_4_8	73	73	94	94	45	45	73	73	77	77	47	47
AKT2_18_H09_H_09_5_11	2723	2723	2436	2436	1597	1597	2723	2723	2740	2740	2172	2172
AKT2_18_H10_H_10_5_12	1029	1029	1006	1006	347	347	1029	1029	975	975	763	763
AKT2_18_H11_H_11_9_16	18	18	21	21	14	14	18	18	11	11	3	3
ALK_19_A02_A_02_1_1	14475	14475	13730	13730	9086	9086	14475	14475	12131	12131	9576	9576
ALK_19_A03_A_03_1_2	3	3	1	1	0	0	3	3	0	0	0	0
ALK_19_A04_A_04_1_4	4	4	2	2	2	2	4	4	0	0	2	2
ALK_19_A05_A_05_3_20	55	55	33	33	15	15	55	55	32	32	18	18
ALK_19_A06_A_06_1_3	5	5	0	0	0	0	5	5	0	0	0	0
ALK_19_B02_B_02_1_5	1060	1060	1066	1066	795	795	1060	1060	998	998	877	877
ALK_19_B03_B_03_1_6	22	22	17	17	5	5	22	22	14	14	18	18
ALK_19_B04_B_04_1_7	7	7	10	10	24	24	7	7	6	6	12	12
ALK_19_B05_B_05_1_8	10	10	4	4	3	3	10	10	26	26	12	12
AMER1_9_C08_C_08_2_1	214	214	243	243	184	184	214	214	210	210	206	206
AMER1_9_C09_C_09_2_3	141	141	136	136	86	86	141	141	155	155	115	115
AMER1_9_C10_C_10_2_4	268	268	303	303	234	234	268	268	292	292	150	150
AMER1_9_C11_C_11_2_2	27955	27955	24459	24459	17161	17161	27955	27955	24004	24004	19489	19489
AMER1_9_D07_D_07_2_5	230	230	164	164	140	140	230	230	131	131	131	131
AMER1_9_D08_D_08_2_6	169	169	120	120	87	87	169	169	77	77	88	88
AMER1_9_D09_D_09_2_7	147	147	176	176	127	127	147	147	164	164	102	102
AMER1_9_D10_D_10_2_8	201	201	228	228	142	142	201	201	225	225	158	158
AMER1_9_D11_D_11_2_9	44775	44775	39789	39789	28951	28951	44775	44775	40378	40378	31703	31703
APC_1_C02_C_02_10_2	861	861	799	799	472	472	861	861	761	761	632	632
APC_1_C03_C_03_10_3	1240	1240	1111	1111	831	831	1240	1240	1080	1080	874	874
APC_1_C04_C_04_15_7	23	23	19	19	28	28	23	23	16	16	4	4
APC_1_C05_C_05_16_10	23050	23050	21484	21484	12206	12206	23050	23050	18645	18645	15036	15036
APC_1_C06_C_06_16_12	22548	22548	20191	20191	7187	7187	22548	22548	20649	20649	15250	15250
APC_1_D02_D_02_16_13	50	50	91	91	41	41	50	50	52	52	24	24
APC_1_D03_D_03_9_1	4342	4342	4105	4105	2037	2037	4342	4342	3660	3660	2727	2727
APC_1_D04_D_04_13_4	25	25	23	23	34	34	25	25	59	59	45	45
APC_1_D05_D_05_14_5	280	280	249	249	196	196	280	280	169	169	150	150
APOBEC3B_2_C08_C_08_5_1	239	239	175	175	156	156	239	239	256	256	144	144
APOBEC3B_2_C09_C_09_5_2	90	90	77	77	76	76	90	90	60	60	65	65
APOBEC3B_2_C10_C_10_3_3	518	518	463	463	253	253	518	518	562	562	512	512
APOBEC3B_2_C11_C_11_5_5	45	45	33	33	17	17	45	45	35	35	20	20
APOBEC3B_2_D07_D_07_7_16	149	149	198	198	89	89	149	149	117	117	90	90
APOBEC3B_2_D08_D_08_7_17	2450	2450	2456	2456	1666	1666	2450	2450	2451	2451	2069	2069
APOBEC3B_2_D09_D_09_7_18	1000	1000	971	971	666	666	1000	1000	996	996	664	664
APOBEC3B_2_D10_D_10_3_4	1936	1936	1925	1925	1490	1490	1936	1936	1873	1873	1508	1508
APOBEC3B_2_D11_D_11_5_6	165	165	147	147	118	118	165	165	173	173	119	119
ARID1A_14_A08_A_08_1_1	310	310	451	451	152	152	310	310	400	400	255	255
ARID1A_14_A09_A_09_1_3	3235	3235	3304	3304	1683	1683	3235	3235	2410	2410	2059	2059
ARID1A_14_A10_A_10_1_6	65	65	69	69	31	31	65	65	31	31	22	22
ARID1A_14_A11_A_11_1_2	1470	1470	959	959	710	710	1470	1470	1005	1005	801	801
ARID1A_14_B07_B_07_1_4	3178	3178	3513	3513	2360	2360	3178	3178	2964	2964	2235	2235
ARID1A_14_B08_B_08_1_5	57	57	70	70	38	38	57	57	71	71	84	84
