trcn_id	trps_id	gene_id	symbol	gene_name	marcotte_hairpin_mean_t0	weight
ABL1_24_A08_A_08_1_1	ABL1_24_A08_A_08_1_1	1	ABL1	ABL1	2081	1
ABL1_24_A09_A_09_2_2	ABL1_24_A09_A_09_2_2	1	ABL1	ABL1	742	1
ABL1_24_A10_A_10_3_3	ABL1_24_A10_A_10_3_3	1	ABL1	ABL1	2001	1
ABL1_24_A11_A_11_3_4	ABL1_24_A11_A_11_3_4	1	ABL1	ABL1	4088	1
ABL1_24_B07_B_07_3_6	ABL1_24_B07_B_07_3_6	1	ABL1	ABL1	3494	1
ABL1_24_B08_B_08_4_7	ABL1_24_B08_B_08_4_7	1	ABL1	ABL1	2519	1
ABL1_24_B09_B_09_4_8	ABL1_24_B09_B_09_4_8	1	ABL1	ABL1	3794	1
ABL1_24_B10_B_10_4_11	ABL1_24_B10_B_10_4_11	1	ABL1	ABL1	2170	1
ABL1_24_B11_B_11_6_13	ABL1_24_B11_B_11_6_13	1	ABL1	ABL1	7756	1
AKT1_27_E08_E_08_3_2	AKT1_27_E08_E_08_3_2	2	AKT1	AKT1	925	1
AKT1_27_E09_E_09_4_4	AKT1_27_E09_E_09_4_4	2	AKT1	AKT1	0	1
AKT1_27_E10_E_10_4_7	AKT1_27_E10_E_10_4_7	2	AKT1	AKT1	0	1
AKT1_27_E11_E_11_4_8	AKT1_27_E11_E_11_4_8	2	AKT1	AKT1	2173	1
AKT1_27_F07_F_07_5_9	AKT1_27_F07_F_07_5_9	2	AKT1	AKT1	917	1
AKT1_27_F08_F_08_5_10	AKT1_27_F08_F_08_5_10	2	AKT1	AKT1	3319	1
AKT1_27_F09_F_09_5_11	AKT1_27_F09_F_09_5_11	2	AKT1	AKT1	1797	1
AKT1_27_F10_F_10_6_12	AKT1_27_F10_F_10_6_12	2	AKT1	AKT1	4501	1
AKT1_27_F11_F_11_6_13	AKT1_27_F11_F_11_6_13	2	AKT1	AKT1	950	1
AKT2_18_G08_G_08_2_1	AKT2_18_G08_G_08_2_1	3	AKT2	AKT2	1340	1
AKT2_18_G09_G_09_2_2	AKT2_18_G09_G_09_2_2	3	AKT2	AKT2	103	1
AKT2_18_G10_G_10_2_3	AKT2_18_G10_G_10_2_3	3	AKT2	AKT2	192	1
AKT2_18_G11_G_11_3_5	AKT2_18_G11_G_11_3_5	3	AKT2	AKT2	697	1
AKT2_18_H07_H_07_4_7	AKT2_18_H07_H_07_4_7	3	AKT2	AKT2	1533	1
AKT2_18_H08_H_08_4_8	AKT2_18_H08_H_08_4_8	3	AKT2	AKT2	73	1
AKT2_18_H09_H_09_5_11	AKT2_18_H09_H_09_5_11	3	AKT2	AKT2	2723	1
AKT2_18_H10_H_10_5_12	AKT2_18_H10_H_10_5_12	3	AKT2	AKT2	1029	1
AKT2_18_H11_H_11_9_16	AKT2_18_H11_H_11_9_16	3	AKT2	AKT2	18	1
ALK_19_A02_A_02_1_1	ALK_19_A02_A_02_1_1	4	ALK	ALK	14475	1
ALK_19_A03_A_03_1_2	ALK_19_A03_A_03_1_2	4	ALK	ALK	3	1
ALK_19_A04_A_04_1_4	ALK_19_A04_A_04_1_4	4	ALK	ALK	4	1
ALK_19_A05_A_05_3_20	ALK_19_A05_A_05_3_20	4	ALK	ALK	55	1
ALK_19_A06_A_06_1_3	ALK_19_A06_A_06_1_3	4	ALK	ALK	5	1
